I,GEN,LogL,Ancestral,Decendant,Substitutions
10,1000,-1441.46,BNode1,BNode2,[ O2D O11D O15D D18O O19D ]
10,1000,-1441.46,BNode2,Node0,[ O7D O16D D17O ]
10,1000,-1441.46,Node0,taxaB,[ O3D D6O O14D ]
10,1000,-1441.46,BNode2,Node1,[ O13D D19O ]
10,1000,-1441.46,Node1,BNode3,[ D0O D1O O4D O10D D13O ]
10,1000,-1441.46,BNode3,Node2,[ O0D O1D O8D D9O O13D O19D ]
10,1000,-1441.46,Node2,taxaA,[ D1O D19O ]
10,1000,-1441.46,BNode3,taxaC,[ O8D D9O O13D ]
10,1000,-1441.46,BNode1,taxaE,[ ]
10,1000,-1441.46,BNode0,Node3,[ D1O O4D O8D O10D O12D O14D D17O D19O ]
10,1000,-1441.46,Node3,Node4,[ ]
10,1000,-1441.46,Node4,Node5,[ ]
10,1000,-1441.46,Node5,taxaD,[ ]
